#countryName,population,capital,continentName;
Andorra,84000,Andorra la Vella,Europe;
United Arab Emirates,4975593,Abu Dhabi,Asia;
Afghanistan,29121286,Kabul,Asia;
Antigua and Barbuda,86754,St. John's,North America;
Anguilla,13254,The Valley,North America;
Albania,2986952,Tirana,Europe;
Armenia,2968000,Yerevan,Asia;
Angola,13068161,Luanda,Africa;
Argentina,41343201,Buenos Aires,South America;
American Samoa,57881,Pago Pago,Oceania;
Austria,8205000,Vienna,Europe;
Australia,21515754,Canberra,Oceania;
Aruba,71566,Oranjestad,North America;
Åland,26711,Mariehamn,Europe;
Azerbaijan,8303512,Baku,Asia;
Bosnia and Herzegovina,4590000,Sarajevo,Europe;
Barbados,285653,Bridgetown,North America;
Bangladesh,156118464,Dhaka,Asia;
Belgium,10403000,Brussels,Europe;
Burkina Faso,16241811,Ouagadougou,Africa;
Bulgaria,7148785,Sofia,Europe;
Bahrain,738004,Manama,Asia;
Burundi,9863117,Bujumbura,Africa;
Benin,9056010,Porto-Novo,Africa;
Saint Barthélemy,8450,Gustavia,North America;
Bermuda,65365,Hamilton,North America;
Brunei,395027,Bandar Seri Begawan,Asia;
Bolivia,9947418,Sucre,South America;
Bonaire,18012,,North America;
Brazil,201103330,Brasília,South America;
Bahamas,301790,Nassau,North America;
Bhutan,699847,Thimphu,Asia;
Botswana,2029307,Gaborone,Africa;
Belarus,9685000,Minsk,Europe;
Belize,314522,Belmopan,North America;
Canada,33679000,Ottawa,North America;
Cocos [Keeling] Islands,628,West Island,Asia;
Democratic Republic of the Congo,70916439,Kinshasa,Africa;
Central African Republic,4844927,Bangui,Africa;
Republic of the Congo,3039126,Brazzaville,Africa;
Switzerland,7581000,Berne,Europe;
Ivory Coast,21058798,Yamoussoukro,Africa;
Cook Islands,21388,Avarua,Oceania;
Chile,16746491,Santiago,South America;
Cameroon,19294149,Yaoundé,Africa;
China,1330044000,Beijing,Asia;
Colombia,47790000,Bogotá,South America;
Costa Rica,4516220,San José,North America;
Cuba,11423000,Havana,North America;
Cape Verde,508659,Praia,Africa;
Curacao,141766,Willemstad,North America;
Christmas Island,1500,The Settlement,Asia;
Cyprus,1102677,Nicosia,Europe;
Czech Republic,10476000,Prague,Europe;
Germany,81802257,Berlin,Europe;
Djibouti,740528,Djibouti,Africa;
Denmark,5484000,Copenhagen,Europe;
Dominica,72813,Roseau,North America;
Dominican Republic,9823821,Santo Domingo,North America;
Algeria,34586184,Algiers,Africa;
Ecuador,14790608,Quito,South America;
Estonia,1291170,Tallinn,Europe;
Egypt,80471869,Cairo,Africa;
Western Sahara,273008,El Aaiún,Africa;
Eritrea,5792984,Asmara,Africa;
Spain,46505963,Madrid,Europe;
Ethiopia,88013491,Addis Ababa,Africa;
Finland,5244000,Helsinki,Europe;
Fiji,875983,Suva,Oceania;
Falkland Islands,2638,Stanley,South America;
Micronesia,107708,Palikir,Oceania;
Faroe Islands,48228,Tórshavn,Europe;
France,64768389,Paris,Europe;
Gabon,1545255,Libreville,Africa;
United Kingdom,62348447,London,Europe;
Grenada,107818,St. George's,North America;
Georgia,4630000,Tbilisi,Asia;
French Guiana,195506,Cayenne,South America;
Guernsey,65228,St Peter Port,Europe;
Ghana,24339838,Accra,Africa;
Gibraltar,27884,Gibraltar,Europe;
Greenland,56375,Nuuk,North America;
Gambia,1593256,Banjul,Africa;
Guinea,10324025,Conakry,Africa;
Guadeloupe,443000,Basse-Terre,North America;
Equatorial Guinea,1014999,Malabo,Africa;
Greece,11000000,Athens,Europe;
South Georgia and the South Sandwich Islands,30,Grytviken,Antarctica;
Guatemala,13550440,Guatemala City,North America;
Guam,159358,Hagåtña,Oceania;
Guinea-Bissau,1565126,Bissau,Africa;
Guyana,748486,Georgetown,South America;
Hong Kong,6898686,Hong Kong,Asia;
Heard Island and McDonald Islands,0,,Antarctica;
Honduras,7989415,Tegucigalpa,North America;
Croatia,4491000,Zagreb,Europe;
Haiti,9648924,Port-au-Prince,North America;
Hungary,9982000,Budapest,Europe;
Indonesia,242968342,Jakarta,Asia;
Ireland,4622917,Dublin,Europe;
Israel,7353985,,Asia;
Isle of Man,75049,Douglas,Europe;
India,1173108018,New Delhi,Asia;
British Indian Ocean Territory,4000,,Asia;
Iraq,29671605,Baghdad,Asia;
Iran,76923300,Tehran,Asia;
